,country,Code_x,year,mortality,increase_mort,Code_y,smoke_prev,increse_smoke,CO,CO_mean,uplift_CO,O3,O3_mean,uplift_O3,PM,PM_mean,uplift_PM,Family,Freedom,Generosity,Region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual
552,Nigeria,NGA,2015,37.19,,NGA,4.699999809265137,,0.375007706,0.3987997735,,0.0521027037530593,0.05264719223901272,,7.4426e-08,7.343485e-08,,0.90432,0.34334,0.27233,Sub-Saharan Africa,5.268,0.65435,0.16007,0.0403,2.89319
553,Nigeria,NGA,2016,36.26,-0.9299999999999997,,,,0.401389476,0.3987997735,0.026381770000000027,0.051316729924985,0.05264719223901272,-0.0007859738280743059,7.3906e-08,7.343485e-08,-5.199999999999941e-10,0.64498,0.27854,0.23219,Sub-Saharan Africa,4.875,0.75216,0.05108,0.0305,2.88586
554,Nigeria,NGA,2017,35.46,-0.7999999999999972,,,,0.404964189,0.3987997735,0.0035747129999999516,0.0532697434223009,0.05264719223901272,0.0019530134973159002,7.45108e-08,7.343485e-08,6.048000000000002e-10,1.21577048301697,0.394952565431595,0.230947196483612,,5.07399988174438,0.783756256103516,0.0569157302379608,0.0261215660721064,2.36539053916931
555,Nigeria,NGA,2018,34.65,-0.8100000000000023,NGA,3.900000095367432,-0.7999997138977046,0.413837723,0.3987997735,0.008873534000000016,0.0538995918557057,0.05264719223901272,0.0006298484334048005,7.08966e-08,7.343485e-08,-3.614200000000006e-09,,0.462,0.201,,5.155,0.689,0.048,0.032,
556,Niue,NIU,2015,61.23,,,,,0.049933075,0.050222923,,0.0481124685164402,0.04797874047258035,,5.66572e-09,6.0659324999999995e-09,,,,,,,,,,
557,Niue,NIU,2016,60.39,-0.8399999999999963,,,,0.048340481,0.050222923,-0.0015925940000000027,0.0458310678233536,0.04797874047258035,-0.002281400693086605,6.56684e-09,6.0659324999999995e-09,9.011199999999995e-10,,,,,,,,,
558,Niue,NIU,2017,59.56,-0.8299999999999983,,,,0.051865622,0.050222923,0.0035251410000000025,0.0487027250929413,0.04797874047258035,0.002871657269587706,5.96462e-09,6.0659324999999995e-09,-6.0222e-10,,,,,,,,,
559,Niue,NIU,2018,58.81,-0.75,,,,0.050752514,0.050222923,-0.0011131080000000015,0.0492687004575863,0.04797874047258035,0.000565975364644998,6.06655e-09,6.0659324999999995e-09,1.019300000000007e-10,,,,,,,,,
560,North America (WB),,2015,36.54,,,,,,,,,,,,,,,,,,,,,,
561,North America (WB),,2016,36.45,-0.0899999999999963,,,,,,,,,,,,,,,,,,,,,
562,North America (WB),,2017,35.82,-0.6300000000000026,,,,,,,,,,,,,,,,,,,,,
563,North America (WB),,2018,36.1,0.28000000000000114,,,,,,,,,,,,,,,,,,,,,
564,North Korea,PRK,2015,123.28,,PRK,19.600000381469727,,0.699426485,0.64165212225,,0.0569671335113835,0.05752284918420553,,8.22039e-08,7.6325725e-08,,,,,,,,,,
565,North Korea,PRK,2016,120.25,-3.030000000000001,,,,0.634086796,0.64165212225,-0.06533968900000009,0.056531270859807,0.05752284918420553,-0.0004358626515765032,7.52679e-08,7.6325725e-08,-6.93599999999999e-09,,,,,,,,,
566,North Korea,PRK,2017,117.52,-2.730000000000004,,,,0.612196023,0.64165212225,-0.021890772999999975,0.0586697867141209,0.05752284918420553,0.002138515854313905,7.44387e-08,7.6325725e-08,-8.291999999999979e-10,,,,,,,,,
567,North Korea,PRK,2018,115.1,-2.4200000000000017,PRK,17.799999237060547,-1.8000011444091797,0.620899185,0.64165212225,0.008703161999999987,0.0579232056515107,0.05752284918420553,-0.0007465810626102048,7.33924e-08,7.6325725e-08,-1.0463000000000112e-09,,,,,,,,,
568,North Macedonia,MKD,2015,26.1,,,,,0.172909361,0.16225898500000002,,0.0545641486795219,0.05522119348997177,,1.2799e-08,1.2846475e-08,,,,,,,,,,
569,North Macedonia,MKD,2016,25.74,-0.360000000000003,,,,0.158747206,0.16225898500000002,-0.01416215500000001,0.0548933656229536,0.05522119348997177,0.00032921694343170105,1.26619e-08,1.2846475e-08,-1.3709999999999863e-10,,,,,,,,,
570,North Macedonia,MKD,2017,25.4,-0.33999999999999986,,,,0.162482909,0.16225898500000002,0.003735703000000007,0.0559503074139233,0.05522119348997177,0.0010569417909697051,1.28395e-08,1.2846475e-08,1.7759999999999988e-10,,,,,,,,,
571,North Macedonia,MKD,2018,25.09,-0.3099999999999987,,,,0.154896464,0.16225898500000002,-0.007586444999999997,0.0554769522434883,0.05522119348997177,-0.00047335517043500114,1.30855e-08,1.2846475e-08,2.4599999999999936e-10,,,,,,,,,
572,Northern Ireland,,2015,39.59,,,,,,,,,,,,,,,,,,,,,,
573,Northern Ireland,,2016,39.12,-0.47000000000000597,,,,,,,,,,,,,,,,,,,,,
574,Northern Ireland,,2017,39.0,-0.11999999999999744,,,,,,,,,,,,,,,,,,,,,
575,Northern Ireland,,2018,39.79,0.7899999999999991,,,,,,,,,,,,,,,,,,,,,
576,Northern Mariana Islands,MNP,2015,53.58,,,,,,,,,,,,,,,,,,,,,,
577,Northern Mariana Islands,MNP,2016,51.46,-2.1199999999999974,,,,,,,,,,,,,,,,,,,,,
578,Northern Mariana Islands,MNP,2017,50.81,-0.6499999999999986,,,,,,,,,,,,,,,,,,,,,
579,Northern Mariana Islands,MNP,2018,49.93,-0.8800000000000026,,,,,,,,,,,,,,,,,,,,,
